Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2016,Honda City i VTEC VX,"55,000",Petrol,Manual,3.80,"Baguihati Big Bazar, Kolkata"
2015,Maruti Wagon R LXI BS IV,"77,958",Petrol,Manual,2.92,"Kolkatta Gpo, Kolkata"
2021,Mahindra Bolero Neo N10 BSVI,"24,000",Diesel,Manual,7.75,"Salt Lake City, Kolkata"
2013,Hyundai i10 Sportz,"30,600",Petrol,Manual,2.35,"Narendrapur, Kolkata"
2022,Volkswagen Virtus Topline AT BSVI,"20,001",Petrol,Automatic,13,"Vaishya Sabha, Kolkata"
2022,Maruti Swift LXI BSVI,"53,241",Petrol,Manual,5.01,"Kolkatta Gpo, Kolkata"
2022,Tata Altroz XT,"2,900",Petrol,Manual,5.99,"Ballygunge, Kolkata"
2021,Kia Sonet HTX Turbo iMT BSVI,"57,523",Petrol,Manual,7.50,"Salt Lake City, Kolkata"
2022,MG Astor Savvy CVT BSVI,"28,896",Petrol,Automatic,11,"Khardah, Kolkata"
2023,BMW 2 Series 220i M Sport BSVI,"14,883",Petrol,Automatic,34,"Vaishya Sabha, Kolkata"
2022,MG Astor Sharp EX BSVI,"22,000",Petrol,Manual,10.90,"Ballygunge, Kolkata"
2022,Renault Kiger RXT Turbo,"10,080",Petrol,Manual,7.95,"Airport Po, Kolkata"
2021,Hyundai Venue SX Turbo iMT,"18,422",Petrol,Manual,7.19,"Airport Po, Kolkata"
2011,Jaguar XF Diesel,"41,000",Diesel,Automatic,8.58,"Kasba, Kolkata"
2023,Kia Carens Luxury Plus iMT,"10,000",Petrol,Manual,13.95,"Ballygunge, Kolkata"
2024,Tata Nexon Creative Plus,"6,739",Petrol,Manual,9.85,"Kasba, Kolkata"
2013,Maruti Wagon R VXI BS IV,"49,522",Petrol,Manual,2.60,"Narendrapur, Kolkata"
2013,Maruti Swift LXI,"47,392",Petrol,Manual,2.87,"Kolkatta Gpo, Kolkata"
2023,Maruti Wagon R VXI CNG,"13,633",CNG,Manual,6.08,"Kankurgachi, Kolkata"
2023,Mahindra XUV300 W8 Opt,"14,251",Petrol,Manual,9.35,"Alipore, Kolkata"
2012,Renault Duster Petrol RxL,"40,000",Petrol,Manual,2.50,"Airport Po, Kolkata"
2015,Maruti Swift Dzire LDI,"90,422",Diesel,Manual,3.50,"Kolkatta Gpo, Kolkata"
2018,Maruti Baleno 1.2 Delta,"52,000",Petrol,Manual,4.95,"Bansdroni, Kolkata"
2022,Hyundai Grand i10 Nios Corp Edition,"1,900",Petrol,Manual,5.70,"Ballygunge Rs, Kolkata"
2020,Mercedes-Benz C-Class Progressive C 220d,"23,700",Diesel,Automatic,32,"Ballygunge Rs, Kolkata"
2016,BMW 7 Series 730Ld,"20,000",Diesel,Automatic,35,"Kasba, Kolkata"
2022,Kia Sonet GTX Plus Turbo DCT,"15,853",Petrol,Automatic,9.35,"Kalighat, Kolkata"
2022,Renault Triber RXT,"22,123",Petrol,Manual,5.97,"Airport Po, Kolkata"
2024,Maruti Alto K10 VXI Plus,"2,223",Petrol,Manual,4.97,"Kankurgachi, Kolkata"
2019,Hyundai Creta 1.6 SX Option,"23,000",Petrol,Manual,8.99,"Salt Lake City, Kolkata"
2018,Hyundai EON Sportz,"27,263",Petrol,Manual,3.51,"Netaji Nagar, Kolkata"
2015,Hyundai Grand i10 Sportz,"45,000",Petrol,Manual,3.35,"Bansdroni, Kolkata"
2016,Maruti Baleno 1.3 Zeta,"55,000",Diesel,Manual,4.15,"Kalighat, Kolkata"
2019,Maruti Celerio ZXI MT BSIV,"36,000",Petrol,Manual,4.45,"Bansdroni, Kolkata"
2017,Hyundai Creta 1.6 E Plus,"53,000",Petrol,Manual,5.71,"Garia Bt, Kolkata"
2012,Ford Figo Diesel ZXI,"46,000",Diesel,Manual,1.25,"Airport Po, Kolkata"
2017,Maruti Baleno 1.2 Sigma,"2,570",Petrol,Manual,4.74,"Entally, Kolkata"
2015,Maruti Alto 800 LXI,"35,019",Petrol,Manual,2.15,"Garia Bt, Kolkata"
2021,Hyundai Venue S,"1,791",Petrol,Manual,7.80,"Airport Po, Kolkata"
2021,Maruti S-Presso VXI,"29,875",Petrol,Manual,3.97,"Kankurgachi, Kolkata"
2022,Hyundai Grand i10 Nios Magna,"6,351",Petrol,Manual,5.06,"University, Kolkata"
2017,Hyundai Creta 1.6 EX Petrol,"20,351",Petrol,Manual,6.98,"Airport Po, Kolkata"
2014,Nissan Terrano XV 110 PS,"54,000",Diesel,Manual,3.75,"Rash Behari Avenue, Kolkata"
2013,Maruti Swift Dzire VXI,"46,000",Petrol,Manual,2.85,"Airport Po, Kolkata"
2017,Mahindra KUV 100 mFALCON G80 K4,"35,000",Petrol,Manual,2.45,"Baguihati Big Bazar, Kolkata"
2020,Maruti Baleno Delta,"23,000",Petrol,Manual,5.35,"Salt Lake City, Kolkata"
2015,Hyundai Xcent 1.2 Kappa S,"93,733",Petrol,Manual,2.61,"University, Kolkata"
2016,Hyundai i20 Asta Option 1.2,"38,916",Petrol,Manual,4.17,"University, Kolkata"
2021,Renault Triber RXZ,"20,287",Petrol,Manual,5.98,"Airport Po, Kolkata"
2015,Maruti Alto 800 VXI,"73,217",Petrol,Manual,2.17,"Kolkatta Gpo, Kolkata"
2024,Mahindra Bolero B4,"14,449",Diesel,Manual,10.25,"Alipore, Kolkata"
2022,Volkswagen Taigun 1.0 TSI Comfortline BSVI,"30,043",Petrol,Manual,9.90,"Beleghata, Kolkata"
2016,Maruti Vitara Brezza ZDi Plus,"52,000",Diesel,Manual,6.25,"Bansdroni, Kolkata"
2024,Skoda Kushaq 1.5 TSI Style,"5,900",Petrol,Manual,15.95,"Ballygunge Rs, Kolkata"
2023,Maruti Dzire ZXI Plus,"19,965",Petrol,Manual,7.79,"Airport Po, Kolkata"
2014,Maruti Alto 800 LXI,"34,016",Petrol,Manual,2.15,"Garia Bt, Kolkata"
