Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2019,Tata Tiago XZA Plus Dual Tone Roof AMT BSVI,"55,872",Petrol,Automatic,5.68,"Airport, Chennai"
2020,Tata Tiago XE BSVI,"70,754",Petrol,Manual,4.20,"Thiruverkadu, Chennai"
2022,Volkswagen Taigun 1.0 TSI Topline AT BSVI,"13,000",Petrol,Automatic,15.50,"Thygaraya Nagar, Chennai"
2023,Renault KWID 1.0 RXT,"17,425",Petrol,Manual,4.67,"Vadapalani, Chennai"
2020,Maruti Celerio ZXI Optional,"26,001",Petrol,Manual,5.25,"Anna Nagar, Chennai"
2023,Maruti Celerio ZXI,"14,287",Petrol,Manual,5.67,"Vadapalani, Chennai"
2021,Hyundai i20 Sportz IVT BSVI,"29,000",Petrol,Automatic,7.65,"Kovilambakkam, Chennai"
2023,MG Astor Sharp CVT BSVI,"15,000",Petrol,Automatic,14.75,"Thygaraya Nagar, Chennai"
2018,Tata Tigor XZ Plus,"94,676",Petrol,Manual,3.99,"Ganapathipuram, Chennai"
2019,Volvo XC 90 D5 Inscription BSIV,"50,000",Diesel,Automatic,67,"Ashoknagar, Chennai"
2021,Hyundai i20 Asta IVT DT,"45,117",Petrol,Automatic,7.09,"Vadapalani, Chennai"
2021,Nissan Magnite Turbo CVT XL BSVI,"31,311",Petrol,Automatic,6.69,"Ganapathipuram, Chennai"
2018,Jeep Compass 2.0 Longitude Option BSIV,"94,000",Diesel,Manual,10.25,"Kovilambakkam, Chennai"
2018,Hyundai Santro Magna AMT BSIV,"33,367",Petrol,Automatic,4.21,"Thiruverkadu, Chennai"
2019,Hyundai Santro Sportz AMT BSIV,"57,769",Petrol,Automatic,4.49,"Vadapalani, Chennai"
2018,Honda Jazz 1.2 VX i VTEC,"66,362",Petrol,Manual,5.85,"Meenambakkam, Chennai"
2020,Kia Seltos HTK Plus AT D,"69,549",Diesel,Automatic,11.80,"Ganapathipuram, Chennai"
2022,Maruti Dzire VXI,"19,288",Petrol,Manual,6.96,"Vadapalani, Chennai"
2020,Maruti Ciaz Alpha AT,"40,000",Petrol,Automatic,8.40,"Thygaraya Nagar, Chennai"
2017,Maruti Baleno 1.3 Delta,"81,134",Diesel,Manual,5.70,"Ganapathipuram, Chennai"
2018,Maruti Ignis 1.2 Sigma BSIV,"34,041",Petrol,Manual,4.55,"Chromepet, Chennai"
2021,Maruti S-Presso VXI,"7,087",Petrol,Manual,4.60,"Airport, Chennai"
2019,BMW X1 sDrive20d Expedition,"80,000",Diesel,Automatic,24,"Ashoknagar, Chennai"
2023,MG Astor Savvy CVT BSVI,"3,000",Petrol,Automatic,16.25,"Thygaraya Nagar, Chennai"
2022,Hyundai i20 Magna 1.2,"29,289",Petrol,Manual,6.55,"Airport, Chennai"
2022,Hyundai Verna S Plus,"11,000",Petrol,Manual,9.99,"Thygaraya Nagar, Chennai"
2020,Kia Seltos HTX IVT G,"73,069",Petrol,Automatic,11.40,"Vadapalani, Chennai"
2009,Audi A6 2.0 TDI Technology,"92,000",Diesel,Automatic,12,"Kottivakkam, Chennai"
2018,Maruti Swift Dzire VXI 1.2,"30,980",Petrol,Manual,5.50,"Vadapalani, Chennai"
2017,Maruti Baleno 1.3 Delta,"28,660",Diesel,Manual,6.40,"Vadapalani, Chennai"
2018,Honda Jazz 1.2 V AT i VTEC,"39,014",Petrol,Automatic,5.58,"Vadapalani, Chennai"
2023,Mahindra Bolero Neo N10 R BSVI,"40,000",Diesel,Manual,11.50,"Medavakkam, Chennai"
2019,Maruti Celerio ZXI AMT,"34,441",Petrol,Automatic,4.99,"Vadapalani, Chennai"
2019,Volkswagen Vento 1.2 TSI Highline AT,"63,939",Petrol,Automatic,7.90,"Chromepet, Chennai"
2020,Kia Sonet HTX Turbo iMT,"40,856",Petrol,Automatic,8.52,"Vadapalani, Chennai"
2022,Maruti Ignis Zeta BSVI,"51,933",Petrol,Manual,5.12,"Thiruverkadu, Chennai"
2015,Mercedes-Benz B Class B200 CDI,"58,000",Diesel,Automatic,18,"Kottivakkam, Chennai"
2022,Hyundai i20 Sportz BSVI,"22,191",Petrol,Manual,7.28,"Ganapathipuram, Chennai"
2016,Hyundai i20 Asta 1.2,"46,614",Petrol,Manual,5.39,"Ganapathipuram, Chennai"
2019,BMW 7 Series 730Ld DPE Signature,"53,000",Diesel,Automatic,68,"Kottivakkam, Chennai"
2021,Maruti S-Presso VXI 2019-2022,"38,830",Petrol,Manual,3.83,"Ganapathipuram, Chennai"
2021,Maruti Swift VXI,"43,974",Petrol,Manual,6,"Vadapalani, Chennai"
2023,Volkswagen Taigun 1.0 Topline,"8,795",Petrol,Manual,14.40,"Vadapalani, Chennai"
2014,Mercedes-Benz G-Class G 350d,"1,10,000",Diesel,Automatic,32,"Kottivakkam, Chennai"
2012,BMW X1 sDrive20d,"80,002",Diesel,Automatic,12.50,"Kottivakkam, Chennai"
2020,Maruti Swift Dzire ZXI AT,"60,000",Petrol,Automatic,6.50,"Ashoknagar, Chennai"
2022,Hyundai i20 Asta Opt IVT,"7,000",Petrol,Automatic,9.75,"Thygaraya Nagar, Chennai"
2022,Kia Seltos HTX IVT G,"30,000",Petrol,Automatic,15.25,"Anna Nagar, Chennai"
2021,Hyundai Venue SX Turbo,"40,898",Petrol,Manual,8.66,"Airport, Chennai"
2018,Jeep Compass 2.0 Limited,"22,000",Diesel,Manual,15.50,"Kottivakkam, Chennai"
2020,Kia Seltos GTX Plus,"44,920",Petrol,Manual,11.85,"Vadapalani, Chennai"
2022,Hyundai i20 Sportz 1.2,"21,974",Petrol,Manual,7.47,"Vadapalani, Chennai"
2015,Hyundai EON Era,"30,273",Petrol,Manual,3.14,"Vadapalani, Chennai"
2022,Mercedes-Benz EQS 580 4Matic,"4,700",Electric,Automatic,92,"Medavakkam, Chennai"
2021,Renault KWID RXT,"46,376",Petrol,Manual,3.92,"Vadapalani, Chennai"
2015,Mercedes-Benz E-Class E250 Edition E,"46,000",Diesel,Automatic,25,"Kottivakkam, Chennai"
2024,Toyota Innova Hycross ZX(O) Hybrid,"19,000",Petrol,Automatic,38.25,"Thygaraya Nagar, Chennai"
2019,Maruti Swift Dzire AMT ZDI,"87,000",Diesel,Automatic,7,"Ashoknagar, Chennai"
2019,Maruti Ignis Delta,"48,373",Petrol,Manual,4.71,"Airport, Chennai"
