Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2022,Volkswagen Taigun 1.0 TSI Topline AT BSVI,"17,000",Petrol,Automatic,19,"Ramamurthy Nagar, Bangalore"
2022,Jeep Compass Model S DCT BSVI,"29,496",Petrol,Automatic,22.44,"Bellandur, Bangalore"
2014,Mercedes-Benz B Class B180 CDI,"52,531",Diesel,Automatic,10.75,"BTM Layout, Bangalore"
2022,Kia Seltos HTX Diesel,"40,000",Diesel,Manual,17,"Nandagudi, Bangalore"
2020,Ford Freestyle Titanium Plus,"25,483",Petrol,Manual,5.87,"Jakkur, Bangalore"
2022,Nissan Magnite XL BSVI,"15,185",Petrol,Manual,6.75,"Bellandur, Bangalore"
2016,Audi A6 35 TDI,"34,548",Diesel,Automatic,24.95,"BTM Layout, Bangalore"
2019,Mahindra XUV500 W5,"32,194",Diesel,Manual,10.62,"Mahadevapura, Bangalore"
2016,Maruti Wagon R AMT VXI,"37,453",Petrol,Automatic,3.90,"Jakkur, Bangalore"
2011,Ford Figo Diesel EXI,"67,000",Diesel,Manual,2.45,"Bazaar, Bangalore"
2019,Renault Duster 110PS Diesel RxZ,"90,000",Diesel,Manual,8.50,Bangalore
2016,Maruti Swift Dzire VXI Optional,"80,000",Petrol,Manual,6,"Yeswanthpura, Bangalore"
2022,Toyota Urban cruiser Premium AT,"21,853",Petrol,Automatic,10.42,"Bellandur, Bangalore"
2022,Volkswagen Taigun 1.0 TSI Highline AT BSVI,"32,622",Petrol,Automatic,13.95,"Bellandur, Bangalore"
2021,Hyundai Creta E Diesel BSVI,"60,000",Diesel,Manual,12,Bangalore
2014,Maruti Wagon R VXI BS IV,"73,846",Petrol,Manual,3.25,"Yeswanthpura, Bangalore"
2022,Mercedes-Benz AMG GLE 53 Coupe,"18,000",Petrol,Automatic,1.38 Crore,"R T Nagar, Bangalore"
2017,Hyundai Creta 1.6 VTVT E Plus,"61,000",Petrol,Manual,7.95,"Hosur Road, Bangalore"
2019,Volvo S90 D4 Inscription BSIV,"55,100",Diesel,Automatic,35,"BTM Layout, Bangalore"
2021,MG Hector Sharp DCT,"27,968",Petrol,Automatic,15.44,"Bellandur, Bangalore"
2014,Hyundai Grand i10 Asta,"35,000",Petrol,Manual,3.95,"R T Nagar, Bangalore"
2023,Volkswagen Virtus Highline,"17,567",Petrol,Manual,12.99,"Bellandur, Bangalore"
2016,Mahindra XUV500 W8 4WD,"1,60,000",Diesel,Manual,9,Bangalore
2020,MG Hector Sharp MT,"32,849",Petrol,Manual,14.99,"Bellandur, Bangalore"
2024,Maruti FRONX Delta Plus,"5,776",Petrol,Manual,9.51,"Samethanahalli, Bangalore"
2021,Maruti S Cross Zeta,"21,549",Petrol,Manual,9.25,"Marathahalli Colony, Bangalore"
2015,Toyota Fortuner 4x2 AT,"1,60,000",Diesel,Automatic,15.90,Bangalore
2020,Hyundai Creta SX BSVI,"29,929",Petrol,Manual,13.99,"Bellandur, Bangalore"
