Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2010,Hyundai i20 1.2 Asta Option with Sunroof,"45,890",Petrol,Manual,2.70,"Ghatkopar East, Mumbai"
2023,Hyundai i20 Sportz IVT,"25,701",Petrol,Automatic,8.19,"Goregaon East, Mumbai"
2014,Hyundai Grand i10 Sportz,"26,565",Petrol,Manual,3.79,"Santacruz Central, Mumbai"
2022,Mercedes-Benz E-Class AMG E 350d BSVI,"13,881",Diesel,Automatic,68,"Borivali West, Mumbai"
2016,Chevrolet Cruze LTZ AT,"90,000",Diesel,Automatic,5.85,"Thane West, Mumbai"
2016,Hyundai Creta 1.6 VTVT S,"72,000",Petrol,Manual,6.75,"Malad, Mumbai"
2020,Tata Tigor 1.2 Revotron XZ,"23,887",Petrol,Manual,5.52,"Kandivali East, Mumbai"
2019,BMW 7 Series 730Ld DPE Signature,"38,000",Diesel,Automatic,45,"Bazargate, Mumbai"
2019,Toyota Glanza V,"41,775",Petrol,Manual,7.05,"Ghatkopar West, Mumbai"
2015,Audi A3 40 TFSI Premium Plus,"61,000",Petrol,Automatic,13.75,"Matunga West, Mumbai"
2015,Maruti Ciaz ZXi,"26,285",Petrol,Manual,5,Thane
2021,Kia Seltos HTK Plus iMT,"24,267",Petrol,Manual,9.97,"Ghatkopar West, Mumbai"
2018,Mahindra TUV 300 T4 Plus,"84,000",Diesel,Manual,5.75,"West, Thane"
2017,Renault KWID 1.0 RXT Opt,"35,272",Petrol,Manual,3.23,"Kandivali East, Mumbai"
2013,Renault Duster 85PS Diesel RxL Optional,"94,000",Diesel,Manual,3.95,"Mira Road West, Mumbai"
2022,Maruti Baleno 1.2 Alpha,"28,000",Petrol,Manual,7.95,Thane
2021,Maruti Wagon R LXI CNG,"35,231",CNG,Manual,5.29,"Ghatkopar West, Mumbai"
2018,Mahindra TUV 300 T4 Plus,"85,000",Diesel,Manual,5.75,"West, Thane"
2022,Honda City ZX CVT,"10,195",Petrol,Automatic,12.89,"West, Thane"
2018,Hyundai Tucson 2.0 Dual VTVT 2WD AT GL,"21,100",Petrol,Automatic,13.90,"Sakinaka, Mumbai"
2011,Maruti Swift Dzire VXI 1.2,"96,638",Petrol,Manual,2.54,"Dadar, Mumbai"
2015,Land Rover Range Rover 4.4 Diesel LWB Autobiography,"92,000",Diesel,Automatic,84,"Ghatkopar East, Mumbai"
2010,Toyota Corolla Altis GL,"68,500",Petrol,Manual,2.75,"Mira Road West, Mumbai"
2021,Maruti S-Presso VXI AT 2019-2022,"31,852",Petrol,Automatic,4.34,"Kandivali East, Mumbai"
2022,Renault Triber RXT EASY-R AMT BSVI,"24,000",Petrol,Automatic,6.50,Thane
2021,Maruti Wagon R CNG LXI Opt,"69,000",CNG,Manual,5.45,"Ins Hamla, Mumbai"
2022,Tata Nexon EV XZ Plus,"16,000",Electric,Automatic,9.90,"Andheri East, Mumbai"
2017,Maruti Vitara Brezza LDi,"39,000",Diesel,Manual,6.85,"Vadpe, Thane"
2016,Honda BR-V i-VTEC V CVT,"79,000",Petrol,Automatic,5.48,Thane
2010,Maruti A-Star Vxi,"57,004",Petrol,Manual,1.99,"Khar Colony, Mumbai"
2024,Maruti Dzire ZXI,"4,000",Petrol,Manual,7.80,"Vadpe, Thane"
2015,Hyundai Creta 1.6 VTVT SX Plus,"63,244",Petrol,Manual,6.95,"Andheri East, Mumbai"
2021,MG Hector Sharp Diesel MT,"25,000",Diesel,Manual,15.60,"Goregaon West, Mumbai"
2018,Tata Tiago 1.2 Revotron XZA,"33,000",Petrol,Automatic,4.60,"Andheri East, Mumbai"
2020,Hyundai i20 Sportz Turbo iMT,"18,538",Petrol,Manual,6.78,"Navi, Mumbai"
2016,Maruti Celerio VXI,"37,773",Petrol,Manual,3.28,"Mulund West, Mumbai"
2021,Hyundai Santro Magna,"7,200",Petrol,Manual,4.50,"Malad, Mumbai"
2019,Kia Seltos HTX IVT G,"82,601",Petrol,Automatic,10.60,"Chembur, Mumbai"
2015,Honda City i VTEC SV,"62,400",Petrol,Manual,5.35,"Sanpada, Navi Mumbai"
2019,Hyundai i20 Sportz Plus BSIV,"34,494",Petrol,Manual,5.99,Thane
2024,Jeep Meridian Limited Opt 4x2 AT,"21,000",Diesel,Automatic,29.95,"Goregaon (w), Mumbai"
2021,Jeep Compass 1.4 Anniversary Edition DCT 2021-2022,"18,586",Petrol,Automatic,19.90,"Ghatkopar West, Mumbai"
2012,Maruti Wagon R VXI,"19,605",Petrol,Manual,2.99,"Santacruz Central, Mumbai"
2016,Tata Tiago 1.2 Revotron XT,"30,653",Petrol,Manual,3.71,"Kandivali East, Mumbai"
2019,Honda City ZX CVT,"37,000",Petrol,Automatic,9.75,"Andheri East, Mumbai"
2018,Mercedes-Benz E-Class Expression E 220 d BSIV,"23,000",Diesel,Automatic,39.75,"Matunga West, Mumbai"
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"21,593",Petrol,Manual,4.88,"Dadar, Mumbai"
2018,Mercedes-Benz GLE 43 AMG Coupe,"39,500",Petrol,Automatic,58,"West, Thane"
2017,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"29,883",Petrol,Manual,4.06,"Ghatkopar West, Mumbai"
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"20,658",Petrol,Manual,5.12,"Navi, Mumbai"
2013,Toyota Innova 2.5 GX (Diesel) 7 Seater,"1,07,000",Diesel,Manual,7.95,"Kandivali West, Mumbai"
2020,Hyundai i20 Magna 1.2,"31,384",Petrol,Manual,5.35,"Ghatkopar West, Mumbai"
2013,Hyundai i20 Magna 1.4 CRDi (Diesel),"52,039",Diesel,Manual,3.42,"Kandivali East, Mumbai"
2018,Honda WR-V i-VTEC S,"24,300",Petrol,Manual,5.53,"Nerul, Navi Mumbai"
2017,Ford Ecosport 1.5 Ti VCT MT Trend BSIV,"30,500",Petrol,Manual,5.04,"Mulund West, Mumbai"
2010,Honda City 1.5 V AT,"59,000",Petrol,Automatic,2.65,"Ghatkopar East, Mumbai"
2021,Tata Tiago 1.2 Revotron XT,"24,124",Petrol,Manual,4.97,"Dadar, Mumbai"
2021,Maruti Swift Dzire ZXI Plus BSVI,"4,500",Petrol,Manual,7.49,"Borivali West, Mumbai"
2015,Hyundai i20 Sportz 1.2,"47,961",Petrol,Manual,4.50,"Kandivali East, Mumbai"
2016,Honda City i VTEC CVT VX,"60,000",Petrol,Automatic,5.75,"Apna Bazar, Thane"
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"24,557",Petrol,Manual,4.87,"Ghatkopar West, Mumbai"
2022,Hyundai Grand i10 Nios Sportz CNG,"17,779",CNG,Manual,7.04,"Navi, Mumbai"
2021,MG Hector Sharp DCT,"36,000",Petrol,Automatic,14.95,"Andheri East, Mumbai"
2016,Honda Jazz 1.2 SV i VTEC,"31,886",Petrol,Manual,4.08,"Ghatkopar West, Mumbai"
2022,Honda Jazz VX CVT,"28,014",Petrol,Automatic,7.85,"Prabhadevi, Mumbai"
2014,Maruti Swift Dzire VXI,"29,051",Petrol,Manual,3.85,"Kandivali East, Mumbai"
2018,Tata Tiago 1.2 Revotron XZA,"27,000",Petrol,Automatic,4.95,"Jogeshwari West, Mumbai"
2021,Tata Nexon XZA Plus DualTone Roof AMT,"72,097",Petrol,Automatic,8.46,"Dadar, Mumbai"
2014,Hyundai i20 Sportz 1.2,"44,534",Petrol,Manual,4.29,"Dadar, Mumbai"
2014,Hyundai Grand i10 Sportz,"77,671",Petrol,Manual,3.16,"Goregaon East, Mumbai"
2018,Maruti Celerio X AMT ZXI BSIV,"35,000",Petrol,Automatic,4.45,"Jogeshwari West, Mumbai"
2021,Maruti S Cross Zeta AT,"5,741",Petrol,Automatic,8.78,"Ghatkopar West, Mumbai"
2018,Mercedes-Benz GLA Class 200 d Sport,"43,325",Diesel,Automatic,21.92,"Ghatkopar West, Mumbai"
2018,Maruti Vitara Brezza VDi Option,"63,000",Diesel,Manual,4.25,"Darave, Navi Mumbai"
2022,Maruti XL6 Zeta CNG BSVI,"27,000",CNG,Manual,11.50,"Mira Road (e), Thane"
2015,Ford Ecosport 1.5 DV5 MT Ambiente,"76,720",Diesel,Manual,5.75,"West, Thane"
2022,MG Hector Smart CVT,"43,650",Petrol,Automatic,16,"Mulund West, Mumbai"
2013,Maruti Swift Dzire VXI,"34,034",Petrol,Manual,3.64,"Kandivali East, Mumbai"
2020,Maruti Swift AMT ZXI,"13,078",Petrol,Automatic,6.41,"Dadar, Mumbai"
2020,Renault KWID 1.0 RXT AMT Opt,"28,200",Petrol,Automatic,3.99,Thane
2024,Hyundai i20 Asta 1.2,"5,167",Petrol,Manual,8.65,"Navi, Mumbai"
2013,Maruti Swift Dzire VXI,"27,734",Petrol,Manual,3.68,"Ghatkopar West, Mumbai"
2017,Honda City i-VTEC CVT V,"40,000",Petrol,Automatic,6.75,"Santacruz East, Mumbai"
2023,Maruti Celerio ZXI Plus,"17,838",Petrol,Manual,5.97,"Dadar, Mumbai"
2016,Honda City i VTEC CVT VX,"57,000",Petrol,Automatic,6.49,Thane
2017,Maruti Celerio VXI Optional AMT BSIV,"32,000",Petrol,Automatic,4.11,"Ins Hamla, Mumbai"
2018,Mahindra TUV 300 T4 Plus,"79,000",Diesel,Manual,5.99,"West, Thane"
2018,Ford Aspire Titanium Automatic,"37,426",Petrol,Automatic,3.99,"West, Thane"
2012,Hyundai Verna 1.6 CRDi EX MT,"51,000",Diesel,Manual,4.21,"Ins Hamla, Mumbai"
2018,Renault KWID 1.0 RXT Optional AT 2016-2019,"40,764",Petrol,Automatic,3.14,"Kandivali East, Mumbai"
2020,Land Rover Range Rover Evoque 2.0 R-Dynamic SE diesel 2020-2021,"24,333",Diesel,Automatic,50,"Mulund West, Mumbai"
2015,Hyundai Grand i10 1.2 Kappa Magna BSIV,"23,627",Petrol,Manual,3.44,"West, Thane"
2017,Mercedes-Benz GLC 220d 4MATIC Style,"74,000",Diesel,Automatic,27.90,"Andheri East, Mumbai"
2021,Mahindra XUV300 W8 Option AMT BSVI,"48,337",Petrol,Automatic,8.28,"Mulund West, Mumbai"
2018,Land Rover Range Rover 3.0 Diesel SWB Vogue BSIV,"59,000",Diesel,Automatic,1.28 Crore,"Ghatkopar East, Mumbai"
2020,Honda City V CVT,"29,184",Petrol,Automatic,8.44,"Ghatkopar West, Mumbai"
2021,Mahindra XUV500 W7,"58,000",Diesel,Manual,11.75,"Andheri East, Mumbai"
2017,Hyundai Creta 1.6 SX Diesel,"40,328",Diesel,Manual,7.99,"Navi, Mumbai"
2018,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"25,397",Petrol,Manual,4.82,"Kandivali East, Mumbai"
2009,BMW 5 Series 520d,"70,000",Diesel,Automatic,5.71,"Andheri East, Mumbai"
2016,Mercedes-Benz CLA 200 CDI Style,"53,000",Diesel,Automatic,16.75,"Ghatkopar East, Mumbai"
2011,Maruti SX4 ZXI MT BSIV,"52,004",Petrol,Manual,2.25,"Khar Colony, Mumbai"
2021,Honda WR-V VX,"61,175",Petrol,Manual,6.44,"Kandivali East, Mumbai"
2019,Renault Duster RXS Option CVT BSIV,"62,338",Petrol,Automatic,6.49,"West, Thane"
2020,Land Rover Discovery Sport Dynamic SE Diesel,"40,000",Diesel,Automatic,48.75,"Khar (w), Mumbai"
2015,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"42,518",Petrol,Manual,3.33,"Ghatkopar West, Mumbai"
2017,Ford Endeavour 2.2 Titanium AT 4X2,"77,001",Diesel,Automatic,25.90,"Malad, Mumbai"
2020,Kia Seltos GTX DCT,"75,059",Petrol,Automatic,11.74,"Kandivali East, Mumbai"
2022,Jeep Compass 1.4 Sport DCT BSVI,"29,700",Petrol,Automatic,16.75,"Goregaon West, Mumbai"
2018,Renault Duster Petrol RXS CVT,"32,777",Petrol,Automatic,6.97,"West, Thane"
2021,Maruti Wagon R LXI CNG,"22,881",CNG,Manual,5.19,"West, Thane"
2018,Maruti Ciaz Zeta AT,"38,894",Petrol,Automatic,6.78,"West, Thane"
2011,Maruti Wagon R VXI BS IV,"85,226",Petrol,Manual,2.15,"Kandivali West, Mumbai"
2017,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"35,321",Petrol,Manual,4.55,"Kandivali East, Mumbai"
2020,Tata Nexon XZ Plus (O) Diesel,"1,01,240",Diesel,Manual,7.92,"Dadar, Mumbai"
2019,Kia Seltos GTX,"45,415",Petrol,Manual,11.35,"Navi, Mumbai"
2017,Volkswagen Ameo Cup Edition Comfortline,"39,070",Petrol,Manual,6.07,"Kandivali East, Mumbai"
2019,Maruti Ciaz Alpha Automatic BSIV,"99,415",Petrol,Automatic,7.78,"Mulund West, Mumbai"
2022,BMW X7 xDrive30d DPE Signature,"19,665",Diesel,Automatic,1 Crore,"West, Thane"
2021,Hyundai Grand i10 Nios Sportz CNG,"65,741",CNG,Manual,5.77,"Nerul, Navi Mumbai"
2020,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"23,068",Petrol,Manual,5.70,"Ghatkopar West, Mumbai"
2020,Hyundai Aura SX Plus AMT Diesel,"31,830",Diesel,Automatic,6.68,"Navi, Mumbai"
2018,Honda WR-V i-VTEC VX,"35,000",Petrol,Manual,6.21,Thane
2019,Maruti Dzire VXI,"14,363",Petrol,Manual,6.30,"Navi, Mumbai"
2015,Maruti Ciaz ZXi,"26,300",Petrol,Manual,5.49,Thane
2020,Hyundai Venue SX Turbo,"39,936",Petrol,Manual,8.77,"Navi, Mumbai"
2015,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"48,924",Petrol,Manual,3.79,"West, Thane"
2012,Toyota Etios V,"93,284",Petrol,Manual,2.60,"Antop Hill, Mumbai"
2021,Maruti Alto 800 LXi,"6,414",Petrol,Manual,3.66,"Navi, Mumbai"
2022,Tata Nexon XZA Plus AMT BSVI,"44,981",Petrol,Automatic,8.29,"Kandivali East, Mumbai"
2020,Toyota Innova Crysta 2.4 VX 7 STR,"59,200",Diesel,Manual,19.75,"Goregaon West, Mumbai"
2020,Maruti Ciaz Alpha AT BSVI,"24,025",Petrol,Automatic,7.70,"Kandivali East, Mumbai"
2017,Hyundai Creta 1.6 SX Diesel,"29,788",Diesel,Manual,9.16,"Kandivali East, Mumbai"
2022,Tata Tiago XZ Plus CNG BSVI,"28,938",CNG,Manual,6.22,"Mulund West, Mumbai"
2018,Renault KWID Climber 1.0 MT,"34,618",Petrol,Manual,3.44,"West, Thane"
