Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2022,Skoda Slavia 1.0 TSI Ambition AT BSVI,"33,411",Petrol,Automatic,10.87,"Rangareddi, Hyderabad"
2011,Hyundai i20 Sportz Petrol,"89,311",Petrol,Manual,2.54,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2013,Honda Brio V MT,"37,000",Petrol,Manual,3.95,Hyderabad
2018,Hyundai i20 Petrol CVT Asta,"38,427",Petrol,Automatic,6.81,"Begumbazar, Hyderabad"
2016,BMW X1 xDrive 20d xLine,"67,787",Diesel,Automatic,18,"Somajiguda, Hyderabad"
2018,Toyota Etios Liva VXD,"59,966",Diesel,Manual,6.68,"Miyapur, Hyderabad"
2020,Hyundai Venue S,"62,000",Petrol,Manual,7.70,Hyderabad
2023,Citroen Aircross Turbo Plus 7 Seater,"10,057",Petrol,Manual,11.40,"Madhapur, Hyderabad"
2014,Honda City i DTEC V,"1,04,225",Diesel,Manual,4.80,"Nagole, Hyderabad"
2021,Skoda Kushaq 1.5 TSI Style DSG,"45,804",Petrol,Automatic,14.90,"Madhapur, Hyderabad"
2013,Maruti Wagon R LXI CNG,"95,929",CNG,Manual,3.04,"Uppal, Hyderabad"
2021,Renault KWID Climber 1.0 MT Opt,"12,015",Petrol,Manual,4.93,"Uppal, Hyderabad"
2019,Renault KWID 1.0 RXT Opt,"26,258",Petrol,Manual,3.93,"Uppal, Hyderabad"
2014,Nissan Terrano XE 85 PS,"63,881",Diesel,Manual,3.60,"Uppal, Hyderabad"
2021,Hyundai Venue SX Plus Turbo DCT,"21,896",Petrol,Automatic,10.72,"Kukatpally, Hyderabad"
2016,Maruti Alto 800 VXI,"26,155",Petrol,Manual,2.96,"Miyapur, Hyderabad"
2015,Hyundai Creta 1.6 CRDi SX,"85,000",Diesel,Manual,8.20,"Lb Nagar, Hyderabad"
2016,Renault KWID 1.0 AMT RXT,"64,962",Petrol,Automatic,2.74,"Miyapur, Hyderabad"
2017,Jeep Compass 2.0 Limited 4X4,"88,000",Diesel,Manual,11.50,"Madhapur, Hyderabad"
2018,Hyundai EON Era,"61,141",Petrol,Manual,3.09,"Uppal, Hyderabad"
2015,Hyundai i20 Sportz 1.2,"77,008",Petrol,Manual,4.56,"Rangareddi, Hyderabad"
