Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2021,Hyundai i20 Sportz 1.2,"55,281",Petrol,Manual,7.32,"Uppal, Hyderabad"
2017,Renault KWID 1.0 RXL,"46,914",Petrol,Manual,3.17,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2015,Ford Figo 1.2P Trend MT,"67,000",Petrol,Manual,3.59,"Ramgopalpet, Hyderabad"
2020,Maruti XL6 Alpha AT,"61,544",Petrol,Automatic,9.91,"Miyapur, Hyderabad"
2017,Hyundai i20 1.2 Spotz,"52,000",Petrol,Manual,6.20,Hyderabad
2023,Tata Tiago NRG XZ,"26,291",Petrol,Manual,6.43,"Miyapur, Hyderabad"
2018,Hyundai i20 1.2 Magna Executive,"29,544",Petrol,Manual,5.95,"Alwal, Hyderabad"
2021,Maruti Wagon R CNG LXI,"42,332",CNG,Manual,5.60,"Rangareddi, Hyderabad"
2017,Honda Jazz 1.2 V i VTEC,"78,763",Petrol,Manual,5.28,"Rangareddi, Hyderabad"
2020,Ford Aspire 1.2 Ti-VCT Titanium,"33,924",Petrol,Manual,6.28,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2021,Honda City ZX MT Diesel,"50,107",Diesel,Manual,14.20,"Madhapur, Hyderabad"
2014,Maruti Alto 800 LXi,"56,422",Petrol,Manual,2.31,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2018,Datsun RediGO T Option,"85,706",Petrol,Manual,2.32,"Rangareddi, Hyderabad"
2018,Honda Amaze S Option i-VTEC,"55,252",Petrol,Manual,4.70,"Madhapur, Hyderabad"
2021,Jeep Compass Model S Diesel BSVI,"71,330",Diesel,Manual,21,"Nagole, Hyderabad"
2013,Maruti Alto 800 LXi,"56,029",Petrol,Manual,2.31,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2021,Honda Jazz ZX,"30,368",Petrol,Manual,8.65,"Miyapur, Hyderabad"
2019,Hyundai Verna VTVT 1.6 SX,"73,421",Petrol,Manual,8.60,"Gandhi Bhawan, Hyderabad"
2017,Maruti Swift VXI Optional,"55,540",Petrol,Manual,4.98,"Rangareddi, Hyderabad"
2016,Honda Brio S MT,"51,386",Petrol,Manual,3.66,"Uppal, Hyderabad"
2019,Maruti Wagon R LXI CNG,"92,946",CNG,Manual,4.80,"Nagole, Hyderabad"
2022,Hyundai i20 Asta 1.2,"20,590",Petrol,Manual,8.95,"Uppal, Hyderabad"
